67521	5722 5936 24336 22578 19935 2104 7922 14166 15987 17257
54038	14662 14631 24635 17406 5192 15987 17257
29644	9880 10928 18528 5192 14771 21422 4186 5189 10928 3322 4277 10928 15392 14631 9931 5192 23549 4195 5192 17257
4056	15534 22855 6030 8147 17257
21327	2382 5936 10928 2123 23424 24642 12834 22854 3416 17257
12489	4354 17072 22305 4169 2382 11702 18428 198 14305 19298 5516 1844 24642 11990 13185 11990 19841 17257
67446	9880 10928 18325 14631 24336 5306 21162 11702 9169 763 12124 17257
56079	14662 13193 7922 20531 22136 19827 7922 5809 12408 14227 9169 5798 22581 5192 17257
5608	14662 7420 20215 21922 11702 24494 7957 5189 24642 24839 11800 18186 9297 7922 9473 23424 5746 3475 6375 2921 11702 18696 5516 17072 20194 17257
55405	15534 2355 10509 15002 10600 17257
16544	10928 2104 22051 2818 1844 7922 18068 10791 19841 12640 4189 3710 11702 21264 19128 5768 23715 5628 11702 18395 20527 17376 4169 15534 16335 10928 5936 17257
27461	11173 10928 19547 5657 11301 20837 10535 763 16998 10928 23249 176 19293 11702 17257
54662	14662 18062 4474 9763 11702 1972 20215 7922 5226 7086 17257
53998	14662 7420 11742 23259 11702 11628 19179 11990 17461 763 7922 20701 13584 7922 16947 7637 116 11990 17257
10337	16248 21694 23528 12640 2474 12370 1665 2104 1438 16600 22800 17257
53637	22149 9241 12529 23639 17877 9241 12529 12677 17257
58035	2382 11702 19841 763 7922 18675 10151 24553 17257
70595	18342 18892 1844 12121 9169 15284 9924 15469 5192 17076 15284 17076 24642 6664 23424 24347 17257
12896	11990 4499 11702 13144 11990 12157 763 19969 19179 6516 17076 14631 8936 18528 4169 23169 17257
2741	20024 15729 8996 14631 1702 15334 12640 14227 10928 17108 24828 7420 17257
49174	2382 5936 10928 7013 24642 22807 23424 14631 7197 20130 17072 9003 22569 5417 17257
27409	15534 2355 24642 22231 21120 23563 23549 13230 17257 2382 22855 10524 16981 9473 17257
15094	2382 5936 19169 22828 17654 11251 763 4770 11052 17257
50495	15534 23739 19183 14227 19547 5732 17076 5136 1844 17121 7197 17257
54015	15534 10600 2355 24642 14660 37 11291 24642 20939 2355 5553 11702 12319 17257
21475	15534 22855 24642 7850 11990 11850 24642 3053 11990 8147 17257
9979	15534 22855 7420 8147 5189 7922 12408 2526 7922 5744 8782 17257 2382 16673 4734 10928 19874 5744 17257
23309	2399 13193 17041 9924 23359 763 24153 3307 3475 22051 11392 1844 7922 16991 5037 17385 20130 17257
5853	14662 7420 23259 11702 8226 14657 37 23424 5213 763 7922 17434 8639 22141 24642 7709 5213 37 763 11291 9950 17257
2335	9880 10928 16086 15312 11702 19179 3171 763 7922 6366 5192 9039 17257
5487	14662 7922 5122 14582 2649 14736 24642 17376 17257 2382 16673 2355 7922 19839 4474 21468 17257
5950	15534 2349 24642 5192 22972 23424 3025 12431 17121 17257
63708	9880 13982 3928 14621 11702 14559 24642 11990 13689 752 14662 11990 18897 23424 24642 17156 18410 5192 22534 17257
